,min,max,range,median,mean,var,sd,se
0,1,58,1,29.5,29.5,285.1666666666667,16.886878535320456,2.217355782608345
1,1,58,58,29.5,29.5,285.1666666666667,16.886878535320456,2.217355782608345
2,0,2379,0,98.5,263.82758620689657,171811.26799758014,414.5012279807867,54.42667766213172
3,0,2379,2379,98.5,263.82758620689657,171811.26799758014,414.5012279807867,54.42667766213172
4,1,1740,1,142.5,250.82758620689654,122687.05747126437,350.26712302364945,45.99232647227301
5,1,1740,1740,142.5,250.82758620689654,122687.05747126437,350.26712302364945,45.99232647227301
6,0,2215,0,96.5,255.75862068965517,187916.53720508167,433.4934107977671,56.920473440049136
7,0,2215,2215,96.5,255.75862068965517,187916.53720508167,433.4934107977671,56.920473440049136
8,0,7254,0,66.5,270.7586206896552,917648.9933454326,957.9399737694594,125.7836808494039
9,0,7254,7254,66.5,270.7586206896552,917648.9933454326,957.9399737694594,125.7836808494039
10,0,3833,0,80.0,234.29310344827587,325317.61433756805,570.3662107256775,74.89275255410554
11,0,3833,3833,80.0,234.29310344827587,325317.61433756805,570.3662107256775,74.89275255410554
12,0,3119,0,84.0,203.4655172413793,196506.04264972778,443.29002092279023,58.20683136968336
13,0,3119,3119,84.0,203.4655172413793,196506.04264972778,443.29002092279023,58.20683136968336
14,3,11529,3,55.0,363.2586206896552,2285961.423169994,1511.9396228586622,198.52739857684517
15,3,11529,11529,55.0,363.2586206896552,2285961.423169994,1511.9396228586622,198.52739857684517
16,4,4808,4,37.5,280.01724137931035,466444.0172413793,682.967068928934,89.67796958171859
17,4,4808,4808,37.5,280.01724137931035,466444.0172413793,682.967068928934,89.67796958171859
18,4,2553,4,82.5,245.51724137931035,184011.30671506352,428.96539104578534,56.32591531849804
19,4,2553,2553,82.5,245.51724137931035,184011.30671506352,428.96539104578534,56.32591531849804
20,0,2077,0,128.0,252.91379310344828,181506.92226255292,426.03629218947174,55.94130579618201
21,0,2077,2077,128.0,252.91379310344828,181506.92226255292,426.03629218947174,55.94130579618201
22,0,1640,0,114.0,206.0,112426.49122807017,335.3005983115303,44.02712550001775
23,0,1640,1640,114.0,206.0,112426.49122807017,335.3005983115303,44.02712550001775
24,0,1194,0,96.5,155.36206896551724,41858.58590441621,204.59370934712587,26.864470159909974
25,0,1194,1194,96.5,155.36206896551724,41858.58590441621,204.59370934712587,26.864470159909974
26,1,58,1,29.5,29.5,285.1666666666667,16.886878535320456,2.217355782608345
27,1,58,58,29.5,29.5,285.1666666666667,16.886878535320456,2.217355782608345
